source_id,woo_id,name,current_ram,current_ssd,ram_mode,ram_type,ram_slots,ram_max,storage_mode,storage_type,storage_slots,confidence,note,source
17,148,"Dell Precision 5530 2in1 – i7, 4K Touch Xoay Gập 360, Giá 11.5 Triệu",16GB,512GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
18,150,"Dell XPS 15 9530 – i7-13700H, RAM 16GB, Card ARC A370M, Giá 24.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
19,152,Dell Latitude 9520 2in1 – Laptop Cảm Ứng Xoay Gập Cao Cấp Giá 11.8 Triệu,8GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
20,154,"ThinkPad X1 Carbon Gen 6 Silver – i7-8650U, RAM 16GB, SSD 256GB, Màn 2K, Giá 8.5 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
21,156,"Dell Latitude 5420 – i7-1185G7, 32GB RAM, 512GB SSD, 14″ FullHD IPS",32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
22,158,"Dell XPS 15 9520 – i7-12700H, RTX 3050, Máy cũ Fullbox, Giá Chỉ 26 Triệu",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
23,160,"Dell Precision 5570 | Workstation Mỏng Nhẹ, Hiệu Năng Cao, i9-12900H, RTX A2000",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
24,162,"ThinkPad X1 Carbon Gen 9 i5/i7, RAM 16GB, SSD 256GB/1TB, LTE – Giá Tốt Tại TP. HCM",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
25,164,"ThinkPad T14 Gen 3 – i7-1260P, RAM 16GB, Màn Hình Cảm Ứng, Giá Chỉ 12.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
26,166,"Dell Precision 5540 – i9-9980HK, RAM 32GB, 4K Touch, Giá Chỉ 13.8 Triệu",32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
27,168,"Dell Precision 5520 – Xeon E3, RAM 16GB, Quadro M1200, Giá Chỉ 8.9 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
28,170,"ThinkPad E15 Gen 2 – i5-1135G7, RAM 16GB, Giá Chỉ 8.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
29,172,"ThinkPad T490 – i7-10510U, RAM 16GB, Màn Hình Cảm Ứng, Giá Chỉ 8.5 Triệu",16GB,256GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
30,174,"ThinkPad T14s – i7-10610U, RAM 32GB, Màn Cảm Ứng, Giá Chỉ 10.5 Triệu",32GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
31,176,"ThinkPad T15 – i5-10310U, RAM 16GB, Màn Cảm Ứng, Giá Chỉ 8.8 Triệu",16GB,256GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
32,178,Dell Precision 7550 – Máy Trạm Di Động Cho Kỹ Sư &amp; Thiết Kế Đồ Họa,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
33,180,"Dell Latitude 5421 – i7-11850H, RAM 16GB, SSD 512GB, Giá Chỉ 11.5 Triệu",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
34,182,"ThinkPad X1 Nano Gen 1 – i7-1160G7, RAM 16GB, Màn 2K, Giá Chỉ 14.8 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
35,184,"Dell Latitude 7490 – i5-8350U, RAM 16GB, SSD 256GB, Giá Chỉ 6.5 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
36,186,"ThinkPad X13 – i7-10610U, RAM 16GB, Màn Cảm Ứng, Giá Chỉ 8.8 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
37,188,"ThinkPad T14 – i5-10310U, RAM 16GB, SSD 512GB, Giá Chỉ 7.8 Triệu",16GB,512GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
38,190,"Dell Precision 5560 – Xeon W-11955M, RTX A2000, Màn 4K Touch, Giá 23.6 Triệu",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
39,192,"ThinkPad P73 – i7-9850H, RTX 3000, Màn 17″, Hiệu Năng Cao",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
40,194,"Dell Latitude 5411 – i7-10850H, RAM 16GB, SSD 256GB, Giá 8.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
41,196,"ThinkPad X1 Carbon Gen 8 – i7-10610U, RAM 16GB, Màn 2K, Giá 12.8 Triệu",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
42,198,"Dell XPS 13 7390 – i7-1065G7, RAM 16GB, 4K Touch, Nhôm Cao Cấp",16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
43,200,ThinkPad X1 Yoga Gen 4 | Laptop Doanh Nhân 2in1 Cao Cấp Chính Hãng,8GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
44,202,"Dell Latitude 9420 Máy cũ i7-1185G8, RAM 16GB, 1TB NVMe, Màn 2K Cảm Ứng",16GB,1TB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
45,204,"HP EliteBook 840 G8 – Ultrabook Mỏng Nhẹ, Hiệu Suất Cao, Nhôm Cao Cấp",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
46,206,ThinkPad T14 Gen 2 – Laptop Doanh Nhân Mạnh Mẽ,8GB,256GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
47,208,"ThinkPad P15 – i7-10850H, RAM 32GB, GPU Quadro T2000, Giá Chỉ 15.5 Triệu",32GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
48,210,"Intel P142K – Laptop Giá Rẻ, Hiệu Năng Ổn Định",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,low,Thiếu tài liệu model chính xác; bắt buộc kiểm tra trực tiếp.,model-family-review
49,212,"HP EliteBook 840 G6 | Laptop HP Nhôm Cao Cấp, Cấu Hình Mạnh, i7-8665U, RAM 16GB, SSD 512GB",16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
50,214,"Dell Precision 5680 – Workstation Cao Cấp, Cấu Hình Đồ Họa Đỉnh Cao",32GB,512GB,replaceable,CAMM (tùy cấu hình),1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Không bán SO-DIMM trước khi kiểm tra Service Tag; nhiều cấu hình dùng CAMM.,model-family-review
51,216,"Dell Precision 5560 – i7-11850H, RAM 16/32GB, Tùy Chọn Màn 4K/FullHD+, Giá Từ 19.8 Triệu",32GB,1TB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
52,218,"Dell Precision 5550 – Workstation i7/i9, Màn 4K/FHD+, RAM 32GB, Giá Từ 16.5 Triệu",32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
53,220,Dell Latitude 7200 – Laptop 2-in-1 Linh Hoạt,8GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,service_only,M.2 NVMe 2230,1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
54,222,"Dell Latitude 5410 – i7-10610U, RAM 16GB, Giá Chỉ 8.8 Triệu",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
55,224,Dell Latitude 5400 – Laptop Văn Phòng Đa Năng,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
56,226,"Dell Latitude 5320 – Laptop Văn Phòng Cao Cấp, i7-1185G7, Xoay Gập Cảm Ứng",8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
57,228,Dell Inspiron 16 Plus 7630 – Laptop Đồ Họa Cao Cấp,32GB,1TB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
58,230,Dell Inspiron 14 5410 – Laptop Văn Phòng Linh Hoạt,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
59,232,Dell Inspiron 7460 – Laptop Giải Trí Đa Năng,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
60,234,Dell Latitude 7420 – Laptop Văn Phòng Cao Cấp,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
61,236,Dell Latitude 7400 – Laptop Văn Phòng Mỏng Nhẹ,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
62,238,"Dell Latitude 5491 – i7-8850H, VGA 2GB, RAM 16GB, SSD 256GB, 14” FullHD",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
63,240,Dell Latitude 5480 i5 – Hiệu Năng Tốt Với Giá Hợp Lý,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
64,242,Dell Latitude 5480 i7 – Laptop Doanh Nhân Mạnh Mẽ,8GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
65,244,Dell Gaming G7 7588 – Laptop Chơi Game Hiệu Năng Cao,16GB,256GB + HDD 1TB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
66,246,Apple MacBook Air 13 2017 – Laptop Siêu Mỏng Nhẹ Và Sang Trọng,8GB,256GB,soldered,LPDDR3 onboard,0,Theo tài liệu model/Service Tag,service_only,Apple proprietary blade SSD,1,high,RAM hàn; SSD chỉ kỹ thuật thay bằng linh kiện/adapter phù hợp.,model-family-review
67,248,"Vietmap Live Pro – Dẫn Đường Thông Minh, Chỉ Từ 1.2K/Ngày",8GB,256GB,not_applicable,SO-DIMM (xác nhận theo thế hệ),0,Theo tài liệu model/Service Tag,not_applicable,M.2 NVMe (xác nhận kích thước),0,high,Không phải laptop.,model-family-review
68,250,Dell Precision 5550 i7-10750H/32Gb Ram/512Gb Nvme/T1000 4Gb/15.6” FullHD+,32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),2,high,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
69,252,"Dell Latitude 5420 i7-1165G7/16Gb Ram/256Gb Nvme/14"" FullHD IPS",16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
70,254,Dell Precision 3551 i7-10850H/16Gb Ram 3200mhz/512Gb Nvme/Nvidia P620 4Gb/15.6” FullHD IPS,16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
71,256,Dell Latitude 5420 intel i5-1145G7/16Gb Ram/256Gb Nvme/14” FullHD,16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
72,258,Dell Precision 7560 i7-11850H/32Gb Ram/512Gb Nvme/RTX A3000 6Gb/15.6” FullHD,32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
73,260,Dell Latitude 5531 i7-12800H/16Gb Ram/256 Nvme/Nvidia MX550 2Gb/15.6” FullHD IPS,16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
74,262,Dell Precision 7560 i7-11800H/32Gb Ram/512Gb Nvme/RTX A3000 6Gb/15.6” FullHD,32GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
75,264,Dell Precision 7530 i7-8850H/16Gb Ram/512Gb Nvme/Quadro P1000 4Gb/15.6” FullHD Cảm Ứng,16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),4,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),3,high,Workstation hỗ trợ nâng cấp; xác nhận chuẩn RAM và số khe đang trống trước khi bán.,model-family-review
76,266,Dell Latitude 5430 intel i5-1245U/16Gb Ram/512Gb Nvme/14” FullHD,16GB,512GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
77,268,ThinkPad P1 Gen 2 i7-9850H/16Gb Ram/256Vb Nvme/Nvidia T1000 4Gb/15.6” 4K Touch,16GB,256GB,replaceable,SO-DIMM (xác nhận theo thế hệ),2,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,medium,Kiểm tra Service Tag/MTM trước khi chốt linh kiện.,model-family-review
78,270,ThinkPad T14 Gen 2 i5-1145G7/16Gb Ram/256Gb Nvme Samsung/14” FullHD,16GB,256GB,partial,DDR4 onboard + SO-DIMM,1,Theo tài liệu model/Service Tag,replaceable,M.2 NVMe (xác nhận kích thước),1,high,RAM hàn một phần và một khe SO-DIMM; kiểm tra RAM onboard trước khi báo dung lượng tối đa.,model-family-review
79,272,ThinkPad X390 intel i7-10510U/16Gb Ram/256Gb Nvme/13.3” FullHD,16GB,256GB,soldered,Onboard,0,Theo cấu hình xuất xưởng,replaceable,M.2 NVMe (xác nhận kích thước),1,high,"RAM hàn, không mở bán nâng RAM. SSD cần xác nhận kích thước/khả năng tháo lắp.",model-family-review
